"","treeID","stemID","dbh","genus","species","Family"
"94",4916,38650,1.25,"Amelanchier","arborea","Rosaceae"
"95",4916,39283,1.060000038,"Amelanchier","arborea","Rosaceae"
"96",3744,3744,1.5,"Amelanchier","arborea","Rosaceae"
"97",106,38325,1.069999981,"Amelanchier","arborea","Rosaceae"
"98",106,36529,1.069999981,"Amelanchier","arborea","Rosaceae"
"99",4901,4901,2.760000038,"Amelanchier","arborea","Rosaceae"
"100",4932,37189,1.610000038,"Amelanchier","arborea","Rosaceae"
"101",3830,3830,3.759999847,"Amelanchier","arborea","Rosaceae"
"102",6096,6096,3.9,"Amelanchier","arborea","Rosaceae"
"103",3739,3739,2.610000038,"Amelanchier","arborea","Rosaceae"
"104",4948,32805,4.170000076,"Amelanchier","arborea","Rosaceae"
"105",4894,37182,1.239999962,"Amelanchier","arborea","Rosaceae"
"106",6192,6192,1.110000038,"Amelanchier","arborea","Rosaceae"
"107",4916,32794,1.3,"Amelanchier","arborea","Rosaceae"
"108",4955,4955,1.310000038,"Amelanchier","arborea","Rosaceae"
"109",6120,6120,13.88000031,"Amelanchier","arborea","Rosaceae"
"110",6081,32944,1.169999981,"Amelanchier","arborea","Rosaceae"
"111",4924,32800,2.139999962,"Amelanchier","arborea","Rosaceae"
"112",5004,5004,7.209999847,"Amelanchier","arborea","Rosaceae"
"113",6120,38671,2.839999962,"Amelanchier","arborea","Rosaceae"
"114",6195,32963,1.710000038,"Amelanchier","arborea","Rosaceae"
"115",3823,32653,2.160000038,"Amelanchier","arborea","Rosaceae"
"116",6197,32964,2.229999924,"Amelanchier","arborea","Rosaceae"
"117",6057,6057,3.679999924,"Amelanchier","arborea","Rosaceae"
"118",3836,37143,1.380000019,"Amelanchier","arborea","Rosaceae"
"119",4894,32790,1.030000019,"Amelanchier","arborea","Rosaceae"
"120",6081,6081,3.329999924,"Amelanchier","arborea","Rosaceae"
"121",4916,37184,1.65,"Amelanchier","arborea","Rosaceae"
"122",6057,37238,1.639999962,"Amelanchier","arborea","Rosaceae"
"123",131,31321,5.559999847,"Amelanchier","arborea","Rosaceae"
"124",4932,4932,4.779999924,"Amelanchier","arborea","Rosaceae"
"125",6137,38673,1.519999981,"Amelanchier","arborea","Rosaceae"
"126",4981,4981,1.510000038,"Amelanchier","arborea","Rosaceae"
"127",106,106,1.380000019,"Amelanchier","arborea","Rosaceae"
"128",4924,37187,1.739999962,"Amelanchier","arborea","Rosaceae"
"129",6173,6173,1.419999981,"Amelanchier","arborea","Rosaceae"
"130",4960,4960,4.05,"Amelanchier","arborea","Rosaceae"
"131",4948,4948,5.029999924,"Amelanchier","arborea","Rosaceae"
"132",4998,4998,1.119999981,"Amelanchier","arborea","Rosaceae"
"133",6081,37240,1.289999962,"Amelanchier","arborea","Rosaceae"
"134",6143,32956,1.970000076,"Amelanchier","arborea","Rosaceae"
"135",5020,5020,1.469999981,"Amelanchier","arborea","Rosaceae"
"136",6137,32954,6.229999924,"Amelanchier","arborea","Rosaceae"
"137",4943,4943,5.120000076,"Amelanchier","arborea","Rosaceae"
"138",4994,4994,8.369999695,"Amelanchier","arborea","Rosaceae"
"139",4924,4924,2.4,"Amelanchier","arborea","Rosaceae"
"140",4994,37191,1.410000038,"Amelanchier","arborea","Rosaceae"
"141",6137,37244,1.6,"Amelanchier","arborea","Rosaceae"
"142",4980,4980,7.65,"Amelanchier","arborea","Rosaceae"
"143",6197,6197,6,"Amelanchier","arborea","Rosaceae"
"144",6088,6088,9.780000305,"Amelanchier","arborea","Rosaceae"
"145",6170,6170,1.160000038,"Amelanchier","arborea","Rosaceae"
"146",6143,6143,7.430000305,"Amelanchier","arborea","Rosaceae"
"147",125,31316,3.420000076,"Amelanchier","arborea","Rosaceae"
"148",4988,4988,1.339999962,"Amelanchier","arborea","Rosaceae"
"149",6195,6195,1.720000076,"Amelanchier","arborea","Rosaceae"
"150",3940,32675,3.490000153,"Amelanchier","arborea","Rosaceae"
"151",5002,5002,1.280000019,"Amelanchier","arborea","Rosaceae"
"152",6170,32958,1.05,"Amelanchier","arborea","Rosaceae"
"153",4989,4989,1.539999962,"Amelanchier","arborea","Rosaceae"
"154",4980,32808,2.560000038,"Amelanchier","arborea","Rosaceae"
"155",6107,6107,3.829999924,"Amelanchier","arborea","Rosaceae"
"156",125,125,3.609999847,"Amelanchier","arborea","Rosaceae"
"157",2424,2424,1.660000038,"Asimina","triloba","Annonaceae"
"158",4778,4778,4.470000076,"Asimina","triloba","Annonaceae"
"159",2422,2422,3,"Asimina","triloba","Annonaceae"
"160",1048,1048,1.95,"Asimina","triloba","Annonaceae"
"161",1047,32194,1.369999981,"Asimina","triloba","Annonaceae"
"162",1050,32195,5.729999924,"Asimina","triloba","Annonaceae"
"163",2423,2423,1.269999981,"Asimina","triloba","Annonaceae"
"164",1050,1050,6.459999847,"Asimina","triloba","Annonaceae"
"165",2422,32454,1.4,"Asimina","triloba","Annonaceae"
"166",1047,1047,2.170000076,"Asimina","triloba","Annonaceae"
"167",1053,1053,1.829999924,"Asimina","triloba","Annonaceae"
"168",3810,3810,3.640000153,"Asimina","triloba","Annonaceae"
"169",1052,1052,1.069999981,"Asimina","triloba","Annonaceae"
"170",4777,4777,2.910000038,"Asimina","triloba","Annonaceae"
"171",6059,32942,6.15,"Carpinus","caroliniana","Betulaceae"
"172",3791,3791,7.819999695,"Carpinus","caroliniana","Betulaceae"
"173",4940,32804,3.9,"Carpinus","caroliniana","Betulaceae"
"174",6182,6182,1.260000038,"Carpinus","caroliniana","Betulaceae"
"175",2395,2395,1.510000038,"Carpinus","caroliniana","Betulaceae"
"176",2394,2394,1.3,"Carpinus","caroliniana","Betulaceae"
"177",3806,3806,10.85,"Carpinus","caroliniana","Betulaceae"
"178",3806,32650,3.709999847,"Carpinus","caroliniana","Betulaceae"
"179",4885,4885,2.529999924,"Carpinus","caroliniana","Betulaceae"
"180",3713,3713,9.130000305,"Carpinus","caroliniana","Betulaceae"
"181",3725,32637,1.5,"Carpinus","caroliniana","Betulaceae"
"182",3821,3821,1.760000038,"Carpinus","caroliniana","Betulaceae"
"183",4888,38649,2.560000038,"Carpinus","caroliniana","Betulaceae"
"184",4940,4940,6.469999695,"Carpinus","caroliniana","Betulaceae"
"185",4940,37190,1.8,"Carpinus","caroliniana","Betulaceae"
"186",3722,32636,2.879999924,"Carpinus","caroliniana","Betulaceae"
"187",2403,2403,20.75,"Carpinus","caroliniana","Betulaceae"
"188",6059,6059,6.320000076,"Carpinus","caroliniana","Betulaceae"
"189",3721,32635,10.10999985,"Carpinus","caroliniana","Betulaceae"
"190",2404,2404,20.93999939,"Carpinus","caroliniana","Betulaceae"
"191",3722,3722,16.71000061,"Carpinus","caroliniana","Betulaceae"
"192",3791,37139,4.140000153,"Carpinus","caroliniana","Betulaceae"
"193",3725,3725,7.809999847,"Carpinus","caroliniana","Betulaceae"
"194",5017,32814,1.15,"Carpinus","caroliniana","Betulaceae"
"195",2343,32439,3.25,"Carpinus","caroliniana","Betulaceae"
"196",3711,3711,9.7,"Carpinus","caroliniana","Betulaceae"
"197",6103,6103,7.080000305,"Carpinus","caroliniana","Betulaceae"
"198",6103,32947,4.109999847,"Carpinus","caroliniana","Betulaceae"
"199",6131,37243,1,"Carpinus","caroliniana","Betulaceae"
"200",3806,37141,1.510000038,"Carpinus","caroliniana","Betulaceae"
"201",2578,2578,1.729999924,"Carpinus","caroliniana","Betulaceae"
"202",2705,2705,1.280000019,"Carpinus","caroliniana","Betulaceae"
"203",6180,6180,1.7,"Carpinus","caroliniana","Betulaceae"
"204",1186,1186,1.080000019,"Carpinus","caroliniana","Betulaceae"
"205",6184,6184,1.260000038,"Carpinus","caroliniana","Betulaceae"
"206",5017,5017,1.3,"Carpinus","caroliniana","Betulaceae"
"207",6131,6131,7.180000305,"Carpinus","caroliniana","Betulaceae"
"208",3714,37135,5.579999924,"Carpinus","caroliniana","Betulaceae"
"209",4888,4888,4.129999924,"Carpinus","caroliniana","Betulaceae"
"210",2343,2343,8.819999695,"Carpinus","caroliniana","Betulaceae"
"211",6131,38672,1.629999924,"Carpinus","caroliniana","Betulaceae"
"212",6131,32953,1.860000038,"Carpinus","caroliniana","Betulaceae"
"213",4879,4879,10.60999985,"Carpinus","caroliniana","Betulaceae"
"214",5078,5078,1.339999962,"Carpinus","caroliniana","Betulaceae"
"215",4888,37181,4.129999924,"Carpinus","caroliniana","Betulaceae"
"216",3791,32647,5.959999847,"Carpinus","caroliniana","Betulaceae"
"217",6184,32961,1.010000038,"Carpinus","caroliniana","Betulaceae"
"218",3714,32631,9.030000305,"Carpinus","caroliniana","Betulaceae"
"219",3721,37137,1.2,"Carpinus","caroliniana","Betulaceae"
"220",5016,5016,4.709999847,"Carpinus","caroliniana","Betulaceae"
"221",3714,3714,18.51000061,"Carpinus","caroliniana","Betulaceae"
"222",2396,2396,9.590000153,"Carpinus","caroliniana","Betulaceae"
"223",2432,2432,8.65,"Carpinus","caroliniana","Betulaceae"
"224",4888,32789,2.479999924,"Carpinus","caroliniana","Betulaceae"
"225",3721,3721,11.99000015,"Carpinus","caroliniana","Betulaceae"
"226",6172,6172,1.810000038,"Carpinus","caroliniana","Betulaceae"
"227",3806,38628,1.489999962,"Carpinus","caroliniana","Betulaceae"
"228",3943,3943,27.48999939,"Carya","cordiformis","Juglandaceae"
"229",6097,6097,14.78999939,"Carya","cordiformis","Juglandaceae"
"230",4865,4865,19.88000031,"Carya","cordiformis","Juglandaceae"
"231",3787,3787,4.570000076,"Carya","cordiformis","Juglandaceae"
"232",4867,4867,2.879999924,"Carya","cordiformis","Juglandaceae"
"233",3786,3786,10.65,"Carya","cordiformis","Juglandaceae"
"234",3944,3944,27.78999939,"Carya","cordiformis","Juglandaceae"
"235",2345,2345,31.72000122,"Carya","cordiformis","Juglandaceae"
"236",3703,3703,50.47000122,"Carya","cordiformis","Juglandaceae"
"237",3704,3704,7.119999695,"Carya","cordiformis","Juglandaceae"
"238",1094,1094,11.60999985,"Carya","cordiformis","Juglandaceae"
"239",3705,3705,1.860000038,"Carya","cordiformis","Juglandaceae"
"240",2341,2341,21.68000031,"Carya","cordiformis","Juglandaceae"
"241",6058,6058,6.590000153,"Carya","cordiformis","Juglandaceae"
"242",2379,2379,11.25,"Carya","cordiformis","Juglandaceae"
"243",3808,3808,14.06999969,"Carya","cordiformis","Juglandaceae"
"244",2400,2400,30,"Carya","cordiformis","Juglandaceae"
"245",2329,2329,7.009999847,"Carya","cordiformis","Juglandaceae"
"246",4836,4836,9.459999847,"Carya","cordiformis","Juglandaceae"
"247",3734,3734,28.5,"Carya","cordiformis","Juglandaceae"
"248",1008,1008,20.23000031,"Carya","cordiformis","Juglandaceae"
"249",4862,4862,27.27999878,"Carya","cordiformis","Juglandaceae"
"250",3807,3807,5.609999847,"Carya","cordiformis","Juglandaceae"
"251",3798,3798,9.45,"Carya","cordiformis","Juglandaceae"
"252",4860,4860,8.109999847,"Carya","cordiformis","Juglandaceae"
"253",3804,3804,40.77999878,"Carya","cordiformis","Juglandaceae"
"254",6044,6044,7.7,"Carya","cordiformis","Juglandaceae"
"255",6047,6047,13.96999969,"Carya","cordiformis","Juglandaceae"
"256",3802,3802,40.06000061,"Carya","cordiformis","Juglandaceae"
"257",2328,2328,15.23000031,"Carya","cordiformis","Juglandaceae"
"258",4950,4950,4.65,"Carya","glabra","Juglandaceae"
"259",4968,4968,2.85,"Carya","glabra","Juglandaceae"
"260",4946,4946,3.15,"Carya","glabra","Juglandaceae"
"261",3846,3846,7.609999847,"Carya","glabra","Juglandaceae"
"262",5000,5000,6.780000305,"Carya","glabra","Juglandaceae"
"263",6124,6124,34.22000122,"Carya","glabra","Juglandaceae"
"264",6185,6185,2.7,"Carya","glabra","Juglandaceae"
"265",5007,5007,8.290000153,"Carya","glabra","Juglandaceae"
"266",6067,6067,22.03999939,"Carya","glabra","Juglandaceae"
"267",6121,6121,7.2,"Carya","glabra","Juglandaceae"
"268",3837,3837,22.21000061,"Carya","glabra","Juglandaceae"
"269",4999,4999,22.71000061,"Carya","glabra","Juglandaceae"
"270",3842,3842,10.01999969,"Carya","glabra","Juglandaceae"
"271",2326,2326,15.38999939,"Carya","glabra","Juglandaceae"
"272",4935,4935,24.45,"Carya","glabra","Juglandaceae"
"273",6200,6200,2.789999962,"Carya","glabra","Juglandaceae"
"274",4987,4987,20.28000031,"Carya","glabra","Juglandaceae"
"275",6075,37239,1.230000019,"Carya","glabra","Juglandaceae"
"276",4952,4952,2.670000076,"Carya","glabra","Juglandaceae"
"277",5009,5009,8.040000153,"Carya","glabra","Juglandaceae"
"278",6135,6135,3.870000076,"Carya","glabra","Juglandaceae"
"279",6156,6156,4.540000153,"Carya","glabra","Juglandaceae"
"280",6157,6157,12.44000015,"Carya","glabra","Juglandaceae"
"281",107,31298,2.220000076,"Carya","glabra","Juglandaceae"
"282",6140,6140,5.790000153,"Carya","glabra","Juglandaceae"
"283",4983,4983,24.08999939,"Carya","glabra","Juglandaceae"
"284",6196,6196,13.36000061,"Carya","glabra","Juglandaceae"
"285",4963,4963,8.45,"Carya","glabra","Juglandaceae"
"286",4951,4951,3.909999847,"Carya","glabra","Juglandaceae"
"287",4928,4928,25.08000031,"Carya","glabra","Juglandaceae"
"288",6134,6134,25.08999939,"Carya","glabra","Juglandaceae"
"289",6154,6154,1.139999962,"Carya","glabra","Juglandaceae"
"290",4993,4993,2.9,"Carya","glabra","Juglandaceae"
"291",4973,4973,10.70999985,"Carya","glabra","Juglandaceae"
"292",6163,6163,11.81999969,"Carya","glabra","Juglandaceae"
"293",4982,4982,28.32999878,"Carya","glabra","Juglandaceae"
"294",4959,4959,2.35,"Carya","glabra","Juglandaceae"
"295",6148,6148,5.079999924,"Carya","glabra","Juglandaceae"
"296",4889,4889,3.679999924,"Carya","glabra","Juglandaceae"
"297",6132,6132,24.4,"Carya","glabra","Juglandaceae"
"298",6068,6068,15.93999939,"Carya","glabra","Juglandaceae"
"299",6115,6115,2.160000038,"Carya","glabra","Juglandaceae"
"300",107,36530,1.089999962,"Carya","glabra","Juglandaceae"
"301",5024,5024,4.920000076,"Carya","glabra","Juglandaceae"
"302",6062,6062,37.32000122,"Carya","glabra","Juglandaceae"
"303",3835,3835,15.73999939,"Carya","glabra","Juglandaceae"
"304",5022,5022,11.36999969,"Carya","glabra","Juglandaceae"
"305",6074,6074,8.4,"Carya","glabra","Juglandaceae"
"306",6190,6190,10.94000015,"Carya","glabra","Juglandaceae"
"307",6075,32943,1.210000038,"Carya","glabra","Juglandaceae"
"308",107,107,2.579999924,"Carya","glabra","Juglandaceae"
"309",4953,4953,6.869999695,"Carya","glabra","Juglandaceae"
"310",4991,4991,4.609999847,"Carya","glabra","Juglandaceae"
"311",5021,5021,4.659999847,"Carya","glabra","Juglandaceae"
"312",3849,3849,13.46999969,"Carya","glabra","Juglandaceae"
"313",6085,6085,3.4,"Carya","glabra","Juglandaceae"
"314",6075,6075,1.410000038,"Carya","glabra","Juglandaceae"
"315",5079,5079,1.839999962,"Carya","glabra","Juglandaceae"
"316",6149,6149,6.940000153,"Carya","glabra","Juglandaceae"
"317",6174,6174,21.76000061,"Carya","glabra","Juglandaceae"
"318",6171,6171,4.520000076,"Carya","glabra","Juglandaceae"
"319",6166,6166,29.92000122,"Carya","glabra","Juglandaceae"
"320",6106,6106,9.959999847,"Carya","glabra","Juglandaceae"
"321",4992,4992,3.35,"Carya","glabra","Juglandaceae"
"322",3860,3860,23.21999969,"Carya","ovalis","Juglandaceae"
"323",6087,6087,4.820000076,"Carya","ovalis","Juglandaceae"
"324",6164,6164,4.629999924,"Carya","ovalis","Juglandaceae"
"325",5001,5001,10.05,"Carya","ovalis","Juglandaceae"
"326",4990,4990,12.56999969,"Carya","ovalis","Juglandaceae"
"327",3949,3949,16.86999969,"Carya","ovalis","Juglandaceae"
"328",3858,3858,13.81000061,"Carya","ovalis","Juglandaceae"
"329",4986,4986,5.879999924,"Carya","ovalis","Juglandaceae"
"330",6071,6071,36.05,"Carya","ovalis","Juglandaceae"
"331",3948,3948,21.18999939,"Carya","ovalis","Juglandaceae"
"332",6061,6061,23.66999969,"Carya","ovalis","Juglandaceae"
"333",6117,6117,36.12999878,"Carya","ovalis","Juglandaceae"
"334",5023,5023,13.58999939,"Carya","ovalis","Juglandaceae"
"335",6083,6083,2.879999924,"Carya","ovalis","Juglandaceae"
"336",4954,4954,8.909999847,"Carya","ovalis","Juglandaceae"
"337",6150,6150,16.43999939,"Carya","ovalis","Juglandaceae"
"338",3843,3843,4.020000076,"Carya","sp","Juglandaceae"
"339",3738,3738,37.4,"Carya","sp","Juglandaceae"
"340",3857,3857,5.970000076,"Carya","sp","Juglandaceae"
"341",6013,6013,6.909999847,"Carya","tomentosa","Juglandaceae"
"342",6194,32962,8.6,"Carya","tomentosa","Juglandaceae"
"343",6165,6165,2.220000076,"Carya","tomentosa","Juglandaceae"
"344",6116,6116,8.2,"Carya","tomentosa","Juglandaceae"
"345",3796,3796,14.61000061,"Carya","tomentosa","Juglandaceae"
"346",4965,4965,4.790000153,"Carya","tomentosa","Juglandaceae"
"347",6191,6191,2.529999924,"Carya","tomentosa","Juglandaceae"
"348",6155,6155,44.02999878,"Carya","tomentosa","Juglandaceae"
